sample_id,content,source
S001,这款手机的拍照效果非常出色，夜景模式特别给力，我很满意,电商评论
S002,物流速度太慢了，等了五天才收到，客服态度也不好,电商评论
S003,商品和描述的一样，质量没有问题，就是包装稍微有点简陋,电商评论
S004,这个APP每次更新之后都会闪退，体验非常差，希望赶紧修复,APP反馈
S005,用了一个月了，电池续航依然很强，每天充一次完全够用,电商评论
S006,客服解答问题非常耐心，给五星好评,电商评论
S007,买来就是坏的，申请退货还被拒绝了，太失望了,电商评论
S008,界面设计简洁美观，操作流畅，用起来很顺手,APP反馈
S009,功能还可以，但是价格偏贵，性价比一般,电商评论
S010,推荐购买，同价位里这个是最好的选择,电商评论
S011,屏幕显示效果不错，看电影很爽，但是扬声器音质一般,电商评论
S012,垃圾产品，用了两天就开不了机了，千万别买,电商评论
S013,非常实用的工具，帮我节省了大量时间,APP反馈
S014,发货很快，第二天就到了，包装完好无损,电商评论
S015,总体来说一般般吧，没有惊喜也没有失望,电商评论
S016,广告太多了，打开就弹广告，严重影响使用体验,APP反馈
